restaurant,url,category,distance,star,num_reviews
SOHO,https://www.doordash.com/store/2699896/?pickup=false,"$$ • Pizza, Alcohol",25 min • 1.0 mi,4.7,(134)
Mareeg Cafe & restaurant,https://www.doordash.com/store/1340895/?pickup=false,"$$ • African, Chicken",26 min • 1.8 mi,4.1,(122)
Nhon Hoa Sandwich Bar,https://www.doordash.com/store/1333843/?pickup=false,"$$ • Vietnamese, Sandwiches",17 min • 0.4 mi,4.7,(131)
Fatburger,https://www.doordash.com/store/23287098/?pickup=false,"$$ • Fries, Salads",22 min • 1.0 mi,4.6,(17)
Phobulous Jimmy’s Kitchen,https://www.doordash.com/store/1173779/?pickup=false,"$$ • Pho, Vermicelli",29 min • 1.7 mi,4.6,(201)
Oil Lamp Unique Dining,https://www.doordash.com/store/150027/?pickup=false,"$$ • Mediterranean, Vegetarian",19 min • 0.4 mi,4.3,(41)
Zuhur Restaurant,https://www.doordash.com/store/728482/?pickup=false,"$$ • African, Breakfast",21 min • 0.6 mi,4.3,(123)
Copper Branch,https://www.doordash.com/store/567408/?pickup=false,"$$ • Vegan, Coffee & Tea",16 min • 0.3 mi,4.8,(359)
La Carraia Gelateria Cafe,https://www.doordash.com/store/800904/?pickup=false,"$$ • Café, Gelato",19 min • 0.6 mi,4.8,(46)
Spirit Bistro,https://www.doordash.com/store/1314065/?pickup=false,"$$ • Chinese, Noodles",19 min • 0.6 mi,4.4,(95)
MrBeast Burger,https://www.doordash.com/store/1683724/?pickup=false,"$ • Burgers, Sandwiches",21 min • 0.3 mi,4.4,(347)
Xu Hue,https://www.doordash.com/store/155444/?pickup=false,"$$ • Vietnamese, Noodles",20 min • 0.4 mi,4.3,(284)
AYCO BAKERY CAFE,https://www.doordash.com/store/23299467/?pickup=false,"$$ • Bakery, Cafe",17 min • 0.4 mi,5,NA
Guru,https://www.doordash.com/store/1245312/?pickup=false,"$$ • Indian, Vegetarian",18 min • 400 ft,4.6,(80)
Jimmy The Greek,https://www.doordash.com/store/149993/?pickup=false,"$$ • Greek, Salads",22 min • 1.2 mi,4.7,(316)
Papa Johns,https://www.doordash.com/store/1788773/?pickup=false,"$$ • Italian, Pizza",19 min • 0.4 mi,4.5,(275)
Filistix - Good Food,https://www.doordash.com/store/1346334/?pickup=false,"$$ • Filipino, Rice Bowl",17 min • 0.6 mi,4.7,(40)
Rickys All Day Grill,https://www.doordash.com/store/957514/?pickup=false,"$$ • Breakfast, Burgers",19 min • 0.6 mi,4.6,(226)
Gyu-Kaku Japanese BBQ,https://www.doordash.com/store/942926/?pickup=false,"$$ • Sauce, Dessert",19 min • 0.3 mi,4.5,(273)
Circle K,https://www.doordash.com/convenience/store/1731046/?pickup=false,"$$ • Breakfast, Ice Cream",17 min • 0.5 mi,4.1,(63)
Bubble T,https://www.doordash.com/store/150136/?pickup=false,"$ • Bubble Tea, Smoothies",21 min • 0.7 mi,4.5,(115)
Swagat India Bistro and Bar,https://www.doordash.com/store/397266/?pickup=false,"$$ • Indian, Vegetarian",30 min • 1.7 mi,4.4,(491)
Tang Bistro,https://www.doordash.com/store/150724/?pickup=false,"$$ • Noodles, Dumplings",30 min • 1.6 mi,4.7,(286)
Nosh Indian restaurant,https://www.doordash.com/store/814630/?pickup=false,"$$ • Indian, Vegetarian",25 min • 1.6 mi,4.6,(58)
Panago Pizza,https://www.doordash.com/store/1308723/?pickup=false,"$$ • Pizza, Salads",20 min • 0.7 mi,4.7,(201)
Riverview Liquor,https://www.doordash.com/store/22981622/?pickup=false,"$$ • Alcohol, Beer",20 min • 1.0 mi,4.5,(15)
Mia Pasta,https://www.doordash.com/store/1350938/?pickup=false,$ • Salad,23 min • 0.3 mi,4.3,(227)
Via Cibo,https://www.doordash.com/store/1693205/?pickup=false,"$ • Italian, Sandwiches",27 min • 0.4 mi,4.5,(136)
Vancia Donair and Shawarma,https://www.doordash.com/store/2249022/?pickup=false,"$$ • Burgers, Shawarma",21 min • 1.1 mi,4.5,(44)
CÔ CHÍN SAIGON,https://www.doordash.com/store/1584030/?pickup=false,"$$ • Fried Rice, Pho",21 min • 0.4 mi,4.5,(67)
Meetfresh,https://www.doordash.com/store/1099359/?pickup=false,"$$ • Pudding, Taiwanese",23 min • 0.9 mi,4.7,(77)
The Barbecue House,https://www.doordash.com/store/236502/?pickup=false,"$$ • Ribs, Chicken",25 min • 1.7 mi,4.6,(232)
Rexall,https://www.doordash.com/convenience/store/23156651/?pickup=false,"$$ • Medicine, Convenience",24 min • 0.5 mi,4.4,(26)
Cinnaholic,https://www.doordash.com/store/600528/?pickup=false,"$$ • Bakery, Pastries",18 min • 0.6 mi,4.7,(256)
Cupbap,https://www.doordash.com/store/1122675/?pickup=false,"$$ • Korean, Fried Chicken",19 min • 0.3 mi,4.7,(90)
