restaurant,url,category,distance,star,num_reviews
Karuna Cafe,https://www.doordash.com/store/567273/?pickup=false,"$$ • Indian, Breakfast",1.1 mi • 29 min,3.9,(13)
Big Smoke Burger,https://www.doordash.com/store/1050857/?pickup=false,"$$ • Burgers, Sandwiches",0.5 mi • 23 min,4.4,(28)
Milestones Grill + Bar,https://www.doordash.com/store/1005396/?pickup=false,"$$ • Bar and Grill, Alcohol",0.3 mi • 28 min,4.5,(172)
Fionn MacCool's,https://www.doordash.com/store/691469/?pickup=false,"$ • Pubs, Burgers",900 ft • 28 min,4.2,(113)
Hasty Market,https://www.doordash.com/store/23034534/?pickup=false,"$$ • Breakfast, Sandwiches",1.3 mi • 28 min,3.8,NA
Circle K,https://www.doordash.com/convenience/store/1288506/?pickup=false,"$$ • Grocery, chips",0.4 mi • 23 min,3.6,NA
Subway,https://www.doordash.com/store/991147/?pickup=false,"$$ • Build Your Own, Cookies",0.2 mi • 20 min,4.4,(26)
X Market [Parent],https://www.doordash.com/store/2839135/?pickup=false,"$$ • Vegan Friendly, Vegan",0.4 mi • 23 min,NA,NA
Mealtime,https://www.doordash.com/convenience/store/23356153/?pickup=false,"$$ • Fried Chicken, Chicken",0.6 mi • 23 min,NA,NA
The best Snack Shop,https://www.doordash.com/store/23270341/?pickup=false,"$$ • Snacks, Sweets",0.6 mi • 23 min,NA,NA
Musowu Ramen,https://www.doordash.com/store/23267891/?pickup=false,"$$ • Ramen, Japanese",1.1 mi • 26 min,NA,NA
Holy Chef,https://www.doordash.com/store/23033819/?pickup=false,"$$ • Dessert, Poutineries",1.5 mi • 29 min,NA,NA
Tea Owners,https://www.doordash.com/store/1274845/?pickup=false,"$$ • Juice & Smoothie, Ice Coffee",0.9 mi • 26 min,2,NA
Second Cup,https://www.doordash.com/store/23274581/?pickup=false,"$ • Bakery, Espresso",0.3 mi • 22 min,NA,NA
Hong Kong Express,https://www.doordash.com/store/298751/?pickup=false,"$$ • Chinese, Seafood",0.7 mi • Closed,4.4,(720+)
Chickpeas,https://www.doordash.com/store/785013/?pickup=false,"$$ • Mediterranean, Sandwiches",1.7 mi • Closed,4.7,(890+)
Pizza Nerds,https://www.doordash.com/store/955008/?pickup=false,"$$ • Italian, Alcohol",0.9 mi • Closed,4.7,(590+)
Subito Sandwich,https://www.doordash.com/store/298578/?pickup=false,"$$ • Italian, Deli",0.8 mi • Closed,4.7,(121)
Manhattan's Coffee Co.,https://www.doordash.com/store/2453819/?pickup=false,"$$ • Cafe, Breakfast",0.3 mi • Closed,4.7,(20)
Sushi Go,https://www.doordash.com/store/1294244/?pickup=false,"$$ • Japanese, Soup",0.3 mi • Closed,4.6,(10)
Quelque Chose Macaron,https://www.doordash.com/store/651946/?pickup=false,"$$ • French Macarons, Creperies",0.4 mi • Closed,4.8,(27)
Gyubee Japanese Grill,https://www.doordash.com/store/1212767/?pickup=false,"$$ • Japanese, Pork",0.6 mi • Closed,4.5,(66)
The Cupcake Lounge,https://www.doordash.com/store/883663/?pickup=false,"$ • Cupcakes, Bakery",0.5 mi • Closed,4.7,(101)
Piccolo Grande Gelateria,https://www.doordash.com/store/1247581/?pickup=false,"$$ • Ice Cream, Gelato",0.5 mi • Closed,4.1,NA
Le Bac a Frites,https://www.doordash.com/store/1142336/?pickup=false,"$$ • Hot Dogs, Sandwiches",0.7 mi • Closed,5,NA
DeliKat Cafe,https://www.doordash.com/store/23032921/?pickup=false,"$$ • Cafe, Salads",0.3 mi • Closed,5,NA
Fatnecks Halal Burgers,https://www.doordash.com/store/1180545/?pickup=false,"$$ • Halal, Burgers",0.4 mi • Closed,4.8,NA
Happy Goat Coffee Co.,https://www.doordash.com/store/1152125/?pickup=false,"$$ • Latte, Cafe",0.7 mi • Closed,4.6,(34)
